dataset,model,epoch,val_accuracy,cumulative_co2_g,elapsed_time_min
CIFAR-10,lenet,1,0.4251999855041504,0.0409277051186278,0.2089651942253113
CIFAR-10,lenet,2,0.503600001335144,0.0555739361177117,0.2859621206919352
CIFAR-10,lenet,3,0.5264000296592712,0.0724417159320067,0.3750009338061015
CIFAR-10,lenet,4,0.5360999703407288,0.0883319377607915,0.4585542639096578
CIFAR-10,lenet,5,0.5519999861717224,0.1032614830833776,0.5366135080655415
CIFAR-10,lenet,6,0.5522000193595886,0.1205983989898294,0.6282284498214722
CIFAR-10,lenet,7,0.5695000290870667,0.1355387941719157,0.7062517642974854
CIFAR-10,lenet,8,0.5810999870300293,0.1508537421323587,0.7864554444948832
CIFAR-10,lenet,9,0.5792999863624573,0.1684364367095938,0.878753912448883
CIFAR-10,lenet,10,0.5835000276565552,0.1833664901828317,0.9565682689348856
CIFAR-10,lenet,11,0.5995000004768372,0.2003338042925636,1.046151614189148
CIFAR-10,lenet,12,0.5842999815940857,0.2166517426511833,1.131686556339264
CIFAR-10,lenet,13,0.5932000279426575,0.2316633933169151,1.2101244409879048
CIFAR-10,lenet,14,0.5978999733924866,0.2484725870916612,1.2981310486793518
CIFAR-10,lenet,15,0.6013000011444092,0.2632612285988245,1.3757272124290467
CIFAR-10,lenet,16,0.6018999814987183,0.2792395552314329,1.459636108080546
CIFAR-10,lenet,17,0.5896999835968018,0.2957479972857473,1.5453946113586423
CIFAR-10,lenet,18,0.6032000184059143,0.3105647878819225,1.6230026602745056
CIFAR-10,lenet,19,0.6049000024795532,0.3280511889780967,1.7142200032869974
CIFAR-10,lenet,20,0.599399983882904,0.3429653942454324,1.792442786693573
CIFAR-10,lenet,21,0.6080999970436096,0.3579256001251735,1.8699214935302733
CIFAR-10,lenet,22,0.6100999712944031,0.3747222068312307,1.957902709643046
CIFAR-10,lenet,23,0.6103000044822693,0.3897238321006046,2.035562598705292
CIFAR-10,lenet,24,0.6103000044822693,0.4058520022004175,2.119785698254903
CIFAR-10,lenet,25,0.6119999885559082,0.4224547560211559,2.2057167569796245
CIFAR-10,lenet,26,0.6010000109672546,0.4374153264138462,2.283835029602051
CIFAR-10,lenet,27,0.6060000061988831,0.4613575666567138,2.408510911464691
CIFAR-10,lenet,28,0.5989000201225281,0.4762878154170833,2.486038931210836
CIFAR-10,lenet,29,0.6115999817848206,0.4936277459412425,2.5762239853541056
CIFAR-10,lenet,30,0.6061999797821045,0.509155299085592,2.65666272242864
CIFAR-10,lenet,31,0.6025999784469604,0.5242822712196064,2.7349249005317686
CIFAR-10,lenet,32,0.6064000129699707,0.5432749022437581,2.8337271372477213
CIFAR-10,lenet,33,0.6036999821662903,0.5584975349005491,2.9126007556915283
CIFAR-10,lenet,34,0.5957000255584717,0.5754669810916824,3.000082270304362
CIFAR-10,lenet,35,0.595300018787384,0.5921022069032101,3.0866923332214355
CIFAR-10,lenet,36,0.589900016784668,0.6074924101716803,3.16564824183782
CIFAR-10,lenet,37,0.597599983215332,0.624808612498795,3.255813463528951
CIFAR-10,lenet,38,0.5867000222206116,0.6399907192363701,3.3336583336194354
CIFAR-10,lenet,39,0.5916000008583069,0.655004907655285,3.4114554444948832
CIFAR-10,lenet,40,0.5960999727249146,0.6725119634377016,3.501447784900665
CIFAR-10,lenet,41,0.5921000242233276,0.6896260069355339,3.589383137226105
CIFAR-10,lenet,42,0.593500018119812,0.707404785458765,3.680864115556081
CIFAR-10,lenet,43,0.5845000147819519,0.723008355418185,3.7607412656148274
CIFAR-10,lenet,44,0.5963000059127808,0.7380789111769084,3.8381904562314353
CIFAR-10,lenet,45,0.5916000008583069,0.7556357071561719,3.9284016569455456
CIFAR-10,lenet,46,0.5946999788284302,0.7726530107828714,4.0162049531936646
CIFAR-10,lenet,47,0.5796999931335449,0.7895518227405823,4.103288102149963
CIFAR-10,lenet,48,0.5902000069618225,0.8060975680584614,4.187984991073608
CIFAR-10,lenet,49,0.595300018787384,0.8213604847426859,4.2661493221918745
CIFAR-10,lenet,50,0.5929999947547913,0.8386543914859289,4.355188341935476
CIFAR-10,vgg16,1,0.1000000014901161,0.3025945027566782,1.1381984233856202
CIFAR-10,vgg16,2,0.1000000014901161,0.5252014864737898,1.9335567037264505
CIFAR-10,vgg16,3,0.1000000014901161,0.8732263449343705,3.3660280585289
CIFAR-10,vgg16,4,0.1000000014901161,1.0969319948726364,4.163486353556315
CIFAR-10,vgg16,5,0.1000000014901161,1.317173679703128,4.948274203141531
CIFAR-10,vgg16,6,0.1000000014901161,1.5387348909092078,5.737447623411814
CIFAR-10,vgg16,7,0.1000000014901161,1.7598176512067571,6.524689769744873
CIFAR-10,vgg16,8,0.1000000014901161,1.9824796563113165,7.32000792423884
CIFAR-10,vgg16,9,0.1000000014901161,2.205288350686025,8.115100884437561
CIFAR-10,vgg16,10,0.1000000014901161,2.426253365635391,8.90233529806137
CIFAR-10,vgg16,11,0.1000000014901161,2.647027292190712,9.689823420842488
CIFAR-10,vgg16,12,0.1000000014901161,2.8692966141616,10.48181607723236
CIFAR-10,vgg16,13,0.1000000014901161,3.0903439549977394,11.269857168197632
CIFAR-10,vgg16,14,0.1000000014901161,3.3113192616662595,12.056750996907551
CIFAR-10,vgg16,15,0.1000000014901161,3.53279536474419,12.84572113752365
CIFAR-10,vgg16,16,0.1000000014901161,3.754159072133302,13.636173971494038
CIFAR-10,vgg16,17,0.1000000014901161,3.9747987388214745,14.422109504540762
CIFAR-10,vgg16,18,0.1000000014901161,4.195836027894387,15.209396290779114
CIFAR-10,vgg16,19,0.1000000014901161,4.417690351265349,16.001799885431925
CIFAR-10,vgg16,20,0.1000000014901161,4.639384233902317,16.792007287343342
CIFAR-10,vgg16,21,0.1000000014901161,4.861320909807238,17.58250195980072
CIFAR-10,vgg16,22,0.1000000014901161,5.083791500326012,18.37669183413188
CIFAR-10,vgg16,23,0.1000000014901161,5.3045161591008645,19.163179727395377
CIFAR-10,vgg16,24,0.1000000014901161,5.525539643506882,19.951249361038208
CIFAR-10,vgg16,25,0.1000000014901161,5.747554872073885,20.74488177696864
CIFAR-10,vgg16,26,0.1000000014901161,5.968505987908087,21.53171407779058
CIFAR-10,vgg16,27,0.1000000014901161,6.189636028656465,22.319880441824598
CIFAR-10,vgg16,28,0.1000000014901161,6.412435158287022,23.11633977095286
CIFAR-10,vgg16,29,0.1000000014901161,6.633850284714975,23.90461599032084
CIFAR-10,vgg16,30,0.1000000014901161,6.854887542845528,24.69245661099752
CIFAR-10,vgg16,31,0.1000000014901161,7.076914553073538,25.486395649115245
CIFAR-10,vgg16,32,0.1000000014901161,7.297825246216987,26.273652227719623
CIFAR-10,vgg16,33,0.1000000014901161,7.519254616288646,27.062218674023946
CIFAR-10,vgg16,34,0.1000000014901161,7.743181418760717,27.86247113545736
CIFAR-10,vgg16,35,0.1000000014901161,7.964681994043196,28.65173552831014
CIFAR-10,vgg16,36,0.1000000014901161,8.18577671912209,29.4393999059995
CIFAR-10,vgg16,37,0.1000000014901161,8.408149103136708,30.233589295546214
CIFAR-10,vgg16,38,0.1000000014901161,8.629247763469683,31.021845320860542
CIFAR-10,vgg16,39,0.1000000014901161,8.85052452623451,31.8094997326533
CIFAR-10,vgg16,40,0.1000000014901161,9.072859098163818,32.603659760952
CIFAR-10,vgg16,41,0.1000000014901161,9.293965388985916,33.392485455671945
CIFAR-10,vgg16,42,0.1000000014901161,9.5149736577619,34.180215708414714
CIFAR-10,vgg16,43,0.1000000014901161,9.737414871089353,34.97510618766149
CIFAR-10,vgg16,44,0.1000000014901161,9.958879077305197,35.76474033991496
CIFAR-10,vgg16,45,0.1000000014901161,10.179404058432644,36.55085018078486
CIFAR-10,vgg16,46,0.1000000014901161,10.401616076883617,37.344690001010896
CIFAR-10,vgg16,47,0.1000000014901161,10.623678877307578,38.13659661213557
CIFAR-10,vgg16,48,0.1000000014901161,10.844328549412856,38.922399401664734
CIFAR-10,vgg16,49,0.1000000014901161,11.065926027181074,39.71265806357066
CIFAR-10,vgg16,50,0.1000000014901161,11.28750836690399,40.503418517112735
CIFAR-10,resnet18,1,0.5687000155448914,0.2453389723404895,0.9646002928415934
CIFAR-10,resnet18,2,0.7366999983787537,0.4157866879187438,1.5777559757232666
CIFAR-10,resnet18,3,0.6116999983787537,0.5860553180746887,2.1867037296295164
CIFAR-10,resnet18,4,0.7422999739646912,0.7564142812217118,2.7958430965741474
CIFAR-10,resnet18,5,0.7075999975204468,0.9271669577025736,3.406664717197418
CIFAR-10,resnet18,6,0.8242999911308289,1.0980395837861023,4.018123499552408
CIFAR-10,resnet18,7,0.7418000102043152,1.268935061389045,4.630360317230225
CIFAR-10,resnet18,8,0.7405999898910522,1.4382620086196014,5.237335459391276
CIFAR-10,resnet18,9,0.7972999811172485,1.609150088937081,5.848202848434449
CIFAR-10,resnet18,10,0.8260999917984009,1.7788349446573322,6.455131475130717
CIFAR-10,resnet18,11,0.8348000049591064,1.950417530842431,7.069993956883748
CIFAR-10,resnet18,12,0.7868000268936157,2.120330932847738,7.679526468118031
CIFAR-10,resnet18,13,0.7509999871253967,2.2918497788988765,8.293375968933105
CIFAR-10,resnet18,14,0.76910001039505,2.461584503855842,8.900242114067078
CIFAR-10,resnet18,15,0.7627999782562256,2.6329906319090566,9.513922206560771
CIFAR-10,resnet18,16,0.8277000188827515,2.8020532616939597,10.118080314000448
CIFAR-10,resnet18,17,0.8327999711036682,2.9736294448771696,10.733691636721291
CIFAR-10,resnet18,18,0.7736999988555908,3.143437687337305,11.34013842344284
CIFAR-10,resnet18,19,0.8313000202178955,3.3138551821552182,11.949192770322163
CIFAR-10,resnet18,20,0.8080000281333923,3.483759042650093,12.556444732348124
CIFAR-10,resnet18,21,0.7986000180244446,3.6545961497792057,13.169297834237415
CIFAR-10,resnet18,22,0.8073999881744385,3.825367243283622,13.779952649275462
CIFAR-10,resnet18,23,0.8029000163078308,3.995430503738539,14.387622010707856
CIFAR-10,resnet18,24,0.804099977016449,4.167571344487032,15.004595836003622
CIFAR-10,resnet18,25,0.8356999754905701,4.336805713770878,15.609356117248534
CIFAR-10,resnet18,26,0.8050000071525574,4.50864796003875,16.225756684939068
CIFAR-10,resnet18,27,0.7888000011444092,4.680123756251172,16.838223767280578
CIFAR-10,resnet18,28,0.7990999817848206,4.851546015726251,17.451793575286864
CIFAR-10,resnet18,29,0.8167999982833862,5.022037135550802,18.061356337865195
CIFAR-10,resnet18,30,0.7975999712944031,5.192416924938564,18.67137528657913
CIFAR-10,resnet18,31,0.8374000191688538,5.3634960123316,19.28333572546641
CIFAR-10,resnet18,32,0.8343999981880188,5.533561102452502,19.89131278991699
CIFAR-10,resnet18,33,0.8353999853134155,5.704561210833647,20.502259174982708
CIFAR-10,resnet18,34,0.8125,5.87464134932969,21.11070371866226
CIFAR-10,resnet18,35,0.7997000217437744,6.046017909496391,21.726674997806548
CIFAR-10,resnet18,36,0.8269000053405762,6.216306423394334,22.33539837996165
CIFAR-10,resnet18,37,0.8264999985694885,6.386859706749731,22.94491233030955
CIFAR-10,resnet18,38,0.8378999829292297,6.557855381580593,23.55599075158437
CIFAR-10,resnet18,39,0.8126000165939331,6.7275232752513245,24.16286063194275
CIFAR-10,resnet18,40,0.838699996471405,6.899656488358153,24.780006674925485
CIFAR-10,resnet18,41,0.8195000290870667,7.069862853659518,25.389206345876055
CIFAR-10,resnet18,42,0.82669997215271,7.241669070643915,26.003280194600425
CIFAR-10,resnet18,43,0.8327000141143799,7.415764905449891,26.62680871884028
CIFAR-10,resnet18,44,0.8210999965667725,7.590339057146405,27.25158879756928
CIFAR-10,resnet18,45,0.8447999954223633,7.7630375950858115,27.872139338652293
CIFAR-10,resnet18,46,0.8374999761581421,7.933074852037272,28.479978521664936
CIFAR-10,resnet18,47,0.8233000040054321,8.104609370386394,29.093104362487797
CIFAR-10,resnet18,48,0.8360000252723694,8.302773097323687,29.842329641183216
CIFAR-10,resnet18,49,0.835099995136261,8.477432412156762,30.4679895401001
CIFAR-10,resnet18,50,0.8248999714851379,8.65029753184091,31.0871058901151
CIFAR-10,resnet50,1,0.2574999928474426,0.4215370774362625,1.8909911155700685
CIFAR-10,resnet50,2,0.2410999983549118,0.5589694419660975,2.3906742413838704
CIFAR-10,resnet50,3,0.2520999908447265,0.7002645915449045,2.9040624380111693
CIFAR-10,resnet50,4,0.4181999862194061,0.836449488234572,3.396708087126414
CIFAR-10,resnet50,5,0.3109000027179718,1.025697585985047,4.1525575637817385
CIFAR-10,resnet50,6,0.2296999990940094,1.1660233133297384,4.664495837688446
CIFAR-10,resnet50,7,0.4129999876022339,1.303783565415498,5.161078369617462
CIFAR-10,resnet50,8,0.2538000047206878,1.4998755316917711,5.957993745803833
CIFAR-10,resnet50,9,0.3140000104904175,1.6368194215463188,6.4553338209788
CIFAR-10,resnet50,10,0.5023000240325928,1.773950522805657,6.949775656064351
CIFAR-10,resnet50,11,0.2635999917984009,1.921441538936356,7.49524172147115
CIFAR-10,resnet50,12,0.5809000134468079,2.0600900253328844,7.998724734783172
CIFAR-10,resnet50,13,0.5781000256538391,2.1979397907471143,8.496382967631023
CIFAR-10,resnet50,14,0.4954000115394592,2.3375341709150974,9.004108047485351
CIFAR-10,resnet50,15,0.3555999994277954,2.476240410351948,9.50788596868515
CIFAR-10,resnet50,16,0.3145000040531158,2.614044103580192,10.00483716726303
CIFAR-10,resnet50,17,0.5874999761581421,2.7535383972916785,10.50993122259776
CIFAR-10,resnet50,18,0.5342000126838684,2.8953772640633053,11.025875663757324
CIFAR-10,resnet50,19,0.6729000210762024,3.033557969521578,11.524834422270455
CIFAR-10,resnet50,20,0.6061999797821045,3.1711935290946927,12.021778500080108
CIFAR-10,resnet50,21,0.6802999973297119,3.310425662118864,12.526837905248009
CIFAR-10,resnet50,22,0.6266000270843506,3.449276337297718,13.031011907259623
CIFAR-10,resnet50,23,0.567300021648407,3.5874342706053883,13.530990223089852
CIFAR-10,resnet50,24,0.6492000222206116,3.725165121071905,14.02809373140335
CIFAR-10,resnet50,25,0.3851999938488006,3.913737123018559,14.782900210221609
CIFAR-10,resnet50,26,0.6934999823570251,4.052595716076596,15.28403771718343
CIFAR-10,resnet50,27,0.7146000266075134,4.191538817458713,15.785865743954975
CIFAR-10,resnet50,28,0.6869000196456909,4.331152091068359,16.295409190654755
CIFAR-10,resnet50,29,0.728600025177002,4.47025447438114,16.797945479551952
CIFAR-10,resnet50,30,0.7193999886512756,4.610446129170645,17.30493710835775
CIFAR-10,resnet50,31,0.739799976348877,4.759791402343646,17.857702147960662
CIFAR-10,resnet50,32,0.728600025177002,4.900863046097356,18.37134294907252
CIFAR-10,resnet50,33,0.6848999857902527,5.043011187162875,18.886760075887043
CIFAR-10,resnet50,34,0.7390999794006348,5.185057478732824,19.40542781352997
CIFAR-10,resnet50,35,0.7384999990463257,5.324205051041091,19.908437490463257
CIFAR-10,resnet50,36,0.7092000246047974,5.463204562638884,20.41076689561208
CIFAR-10,resnet50,37,0.7275999784469604,5.605277033123098,20.928487316767374
CIFAR-10,resnet50,38,0.718500018119812,5.743797513419106,21.42812709013621
CIFAR-10,resnet50,39,0.7386000156402588,5.881470851857412,21.925268562634788
CIFAR-10,resnet50,40,0.6998000144958496,6.020630790692668,22.429494150479638
CIFAR-10,resnet50,41,0.6478999853134155,6.162121718314253,22.946124239762625
CIFAR-10,resnet50,42,0.7350000143051147,6.304748498656693,23.46155554056168
CIFAR-10,resnet50,43,0.7365999817848206,6.445329116000534,23.9701686779658
CIFAR-10,resnet50,44,0.7480999827384949,6.586364364109102,24.48455576896668
CIFAR-10,resnet50,45,0.7354000210762024,6.774325755067739,25.236059514681497
CIFAR-10,resnet50,46,0.7311999797821045,6.9162125847869165,25.75100682576497
CIFAR-10,resnet50,47,0.7319999933242798,7.056985340883731,26.259912006060283
CIFAR-10,resnet50,48,0.7321000099182129,7.245341038338024,27.01193186442057
CIFAR-10,resnet50,49,0.7301999926567078,7.38784712335619,27.52925440073013
CIFAR-10,resnet50,50,0.7213000059127808,7.527812534431695,28.034701093037924
