dataset,model,epoch,val_accuracy,cumulative_co2_g
CIFAR-100,lenet,1,0.1455000042915344,0.0932355236237074
CIFAR-100,lenet,2,0.188400000333786,0.1326964842646815
CIFAR-100,lenet,3,0.214599996805191,0.1731990377162715
CIFAR-100,lenet,4,0.2299000024795532,0.2073853868153157
CIFAR-100,lenet,5,0.2460999935865402,0.2451924515489852
CIFAR-100,lenet,6,0.2592000067234039,0.2844841913973248
CIFAR-100,lenet,7,0.2736000120639801,0.3201813861099504
CIFAR-100,lenet,8,0.2687999904155731,0.3603231815348945
CIFAR-100,lenet,9,0.2788000106811523,0.4118853001836862
CIFAR-100,lenet,10,0.2858000099658966,0.4551954888254038
CIFAR-100,lenet,11,0.2858000099658966,0.4905483594251089
CIFAR-100,lenet,12,0.2892000079154968,0.5334918952851809
CIFAR-100,lenet,13,0.2931999862194061,0.5682951792482915
CIFAR-100,lenet,14,0.2917999923229217,0.6066646643427035
CIFAR-100,lenet,15,0.2881999909877777,0.6448693886814161
CIFAR-100,lenet,16,0.29789999127388,0.6797889598057937
CIFAR-100,lenet,17,0.3018999993801117,0.7204709488575194
CIFAR-100,lenet,18,0.2928000092506408,0.7551485694226245
CIFAR-100,lenet,19,0.2939999997615814,0.7971918262312212
CIFAR-100,lenet,20,0.3039000034332275,0.831723874457779
CIFAR-100,lenet,21,0.2984000146389007,0.8694712276139148
CIFAR-100,lenet,22,0.3025999963283539,0.9098777188802242
CIFAR-100,lenet,23,0.2989999949932098,0.945514708413138
CIFAR-100,lenet,24,0.2899999916553497,0.9867926223452756
CIFAR-100,lenet,25,0.3043000102043152,1.0219508470098602
CIFAR-100,lenet,26,0.2928000092506408,1.0616118010238171
CIFAR-100,lenet,27,0.2985999882221222,1.0978194307606948
CIFAR-100,lenet,28,0.2931999862194061,1.1348780668328886
CIFAR-100,lenet,29,0.2921000123023987,1.1761923297353305
CIFAR-100,lenet,30,0.2982999980449676,1.2114835038397678
CIFAR-100,lenet,31,0.2973999977111816,1.263023063440056
CIFAR-100,lenet,32,0.3030000030994415,1.315391616785466
CIFAR-100,lenet,33,0.2870000004768371,1.3560796290519646
CIFAR-100,lenet,34,0.2992999851703644,1.392274754891564
CIFAR-100,lenet,35,0.2912999987602234,1.4342232959422612
CIFAR-100,lenet,36,0.2919999957084656,1.4689931097236009
CIFAR-100,lenet,37,0.2994000017642975,1.5201059979414997
CIFAR-100,lenet,38,0.293500006198883,1.555462965690358
CIFAR-100,lenet,39,0.2930999994277954,1.5967106744201258
CIFAR-100,lenet,40,0.2906999886035919,1.6343596992107128
CIFAR-100,lenet,41,0.2948000133037567,1.6716623241079611
CIFAR-100,lenet,42,0.2921000123023987,1.7125307018206095
CIFAR-100,lenet,43,0.2897000014781952,1.7475869769431551
CIFAR-100,lenet,44,0.2904999852180481,1.7994745593519796
CIFAR-100,lenet,45,0.2861999869346618,1.835433634945405
CIFAR-100,lenet,46,0.2870999872684479,1.8775163111982325
CIFAR-100,lenet,47,0.2876999974250793,1.913803203431625
CIFAR-100,lenet,48,0.2939999997615814,1.9535462214870143
CIFAR-100,lenet,49,0.2833999991416931,1.991662064772589
CIFAR-100,lenet,50,0.2881999909877777,2.027221973928041
CIFAR-100,vgg16,1,0.0564999990165233,0.5876477963832117
CIFAR-100,vgg16,2,0.0908000022172927,1.084416699575906
CIFAR-100,vgg16,3,0.1472000032663345,1.5842867936963956
CIFAR-100,vgg16,4,0.1771000027656555,2.0811943848071817
CIFAR-100,vgg16,5,0.2208999991416931,2.5780117901647155
CIFAR-100,vgg16,6,0.2493000030517578,3.072179079894472
CIFAR-100,vgg16,7,0.2791999876499176,3.5696392435449176
CIFAR-100,vgg16,8,0.3217999935150146,4.065335350468338
CIFAR-100,vgg16,9,0.3587000072002411,4.5625789051244015
CIFAR-100,vgg16,10,0.3546999990940094,5.060498250781791
CIFAR-100,vgg16,11,0.3754999935626983,5.556728587640254
CIFAR-100,vgg16,12,0.3851000070571899,6.054184375483943
CIFAR-100,vgg16,13,0.3831000030040741,6.5515079500896505
CIFAR-100,vgg16,14,0.3716000020503998,7.0487881119125575
CIFAR-100,vgg16,15,0.3937999904155731,7.547442024839615
CIFAR-100,vgg16,16,0.3810000121593475,8.04709834241605
CIFAR-100,vgg16,17,0.3835999965667724,8.547282620962118
CIFAR-100,vgg16,18,0.3869999945163727,9.047206329401812
CIFAR-100,vgg16,19,0.376800000667572,9.542972692026908
CIFAR-100,vgg16,20,0.380400002002716,10.038431050486064
CIFAR-100,vgg16,21,0.3808000087738037,10.769803643474232
CIFAR-100,vgg16,22,0.3914999961853027,11.269013890463766
CIFAR-100,vgg16,23,0.3907999992370605,11.768414358638177
CIFAR-100,vgg16,24,0.3876999914646148,12.268502188787672
CIFAR-100,vgg16,25,0.3849000036716461,12.767503899834209
CIFAR-100,vgg16,26,0.3849999904632568,13.266188954584496
CIFAR-100,vgg16,27,0.3901000022888183,13.998502024482764
CIFAR-100,vgg16,28,0.3937000036239624,14.503175826704757
CIFAR-100,vgg16,29,0.3982000052928924,15.006158660743624
CIFAR-100,vgg16,30,0.3851000070571899,15.505960281175698
CIFAR-100,vgg16,31,0.3921999931335449,16.004478990227756
CIFAR-100,vgg16,32,0.3923999965190887,16.504163911806938
CIFAR-100,vgg16,33,0.395000010728836,17.00624849146921
CIFAR-100,vgg16,34,0.3892000019550323,17.525760660104204
CIFAR-100,vgg16,35,0.38960000872612,18.02654274774577
CIFAR-100,vgg16,36,0.395000010728836,18.54472293768437
CIFAR-100,vgg16,37,0.3977000117301941,19.0450457969636
CIFAR-100,vgg16,38,0.3907000124454498,19.5466470070279
CIFAR-100,vgg16,39,0.3955000042915344,20.05032135113261
CIFAR-100,vgg16,40,0.3952000141143799,20.55197842579997
CIFAR-100,vgg16,41,0.3998000025749206,21.051119140831723
CIFAR-100,vgg16,42,0.402999997138977,21.55065507240361
CIFAR-100,vgg16,43,0.4000000059604645,22.04936281887479
CIFAR-100,vgg16,44,0.4070000052452087,22.5510015631204
CIFAR-100,vgg16,45,0.4000000059604645,23.053264313669843
CIFAR-100,vgg16,46,0.3991000056266784,23.556940516537438
CIFAR-100,vgg16,47,0.4007999897003174,24.05840387781685
CIFAR-100,vgg16,48,0.3970000147819519,24.78877017089364
CIFAR-100,vgg16,49,0.3998000025749206,25.29196322073425
CIFAR-100,vgg16,50,0.3930000066757202,25.792620451572184
CIFAR-100,ResNet18,1,0.1318999975919723,0.5493963401234073
CIFAR-100,ResNet18,2,0.227400004863739,0.9228380718282068
CIFAR-100,ResNet18,3,0.418500006198883,1.2918577097592934
CIFAR-100,ResNet18,4,0.4562000036239624,1.6620175540770403
CIFAR-100,ResNet18,5,0.4657999873161316,2.0331353967288157
CIFAR-100,ResNet18,6,0.4957999885082245,2.405786170044633
CIFAR-100,ResNet18,7,0.544700026512146,2.793423701864292
CIFAR-100,ResNet18,8,0.5324000120162964,3.16227619476342
CIFAR-100,ResNet18,9,0.536300003528595,3.531421252918549
CIFAR-100,ResNet18,10,0.5134000182151794,3.9039116410948775
CIFAR-100,ResNet18,11,0.5289999842643738,4.272619918299803
CIFAR-100,ResNet18,12,0.5181000232696533,4.63987796652172
CIFAR-100,ResNet18,13,0.5494999885559082,5.011335980918519
CIFAR-100,ResNet18,14,0.516700029373169,5.384857464297069
CIFAR-100,ResNet18,15,0.5353999733924866,5.752125886019477
CIFAR-100,ResNet18,16,0.5023999810218811,6.123456700462324
CIFAR-100,ResNet18,17,0.505299985408783,6.492477110264838
CIFAR-100,ResNet18,18,0.54339998960495,6.861584945846858
CIFAR-100,ResNet18,19,0.5397999882698059,7.233096758519983
CIFAR-100,ResNet18,20,0.4950999915599823,7.648312251829394
CIFAR-100,ResNet18,21,0.5300999879837036,8.02008552979113
CIFAR-100,ResNet18,22,0.5321999788284302,8.388870031946897
CIFAR-100,ResNet18,23,0.5257999897003174,8.76024180048555
CIFAR-100,ResNet18,24,0.5378000140190125,9.129887064551845
CIFAR-100,ResNet18,25,0.5424000024795532,9.500613928294149
CIFAR-100,ResNet18,26,0.5490000247955322,9.874176108264104
CIFAR-100,ResNet18,27,0.5450000166893005,10.24426184375952
CIFAR-100,ResNet18,28,0.5479000210762024,10.612710082990397
