dataset,model,epoch,val_accuracy,cumulative_co2_g,elapsed_time_min
CIFAR-10,lenet,1,0.4251999855041504,0.040927705118627866,0.2089651942253113
CIFAR-10,lenet,2,0.503600001335144,0.055573936117711796,0.2859621206919352
CIFAR-10,lenet,3,0.5264000296592712,0.07244171593200673,0.3750009338061015
CIFAR-10,lenet,4,0.5360999703407288,0.08833193776079155,0.4585542639096578
CIFAR-10,lenet,5,0.5519999861717224,0.10326148308337767,0.5366135080655415
CIFAR-10,lenet,6,0.5522000193595886,0.12059839898982949,0.6282284498214722
CIFAR-10,lenet,7,0.5695000290870667,0.1355387941719157,0.7062517642974854
CIFAR-10,lenet,8,0.5810999870300293,0.1508537421323587,0.7864554444948832
CIFAR-10,lenet,9,0.5792999863624573,0.1684364367095938,0.878753912448883
CIFAR-10,lenet,10,0.5835000276565552,0.18336649018283172,0.9565682689348857
CIFAR-10,lenet,11,0.5995000004768372,0.20033380429256367,1.046151614189148
CIFAR-10,lenet,12,0.5842999815940857,0.2166517426511833,1.131686556339264
CIFAR-10,lenet,13,0.5932000279426575,0.2316633933169151,1.2101244409879048
CIFAR-10,lenet,14,0.5978999733924866,0.24847258709166128,1.2981310486793518
CIFAR-10,lenet,15,0.6013000011444092,0.2632612285988245,1.3757272124290467
CIFAR-10,lenet,16,0.6018999814987183,0.27923955523143296,1.459636108080546
CIFAR-10,lenet,17,0.5896999835968018,0.29574799728574735,1.5453946113586425
CIFAR-10,lenet,18,0.6032000184059143,0.3105647878819225,1.6230026602745056
CIFAR-10,lenet,19,0.6049000024795532,0.32805118897809676,1.7142200032869974
CIFAR-10,lenet,20,0.599399983882904,0.34296539424543243,1.792442786693573
CIFAR-10,lenet,21,0.6080999970436096,0.3579256001251735,1.8699214935302735
CIFAR-10,lenet,22,0.6100999712944031,0.37472220683123075,1.9579027096430461
CIFAR-10,lenet,23,0.6103000044822693,0.3897238321006046,2.0355625987052917
CIFAR-10,lenet,24,0.6103000044822693,0.40585200220041756,2.119785698254903
CIFAR-10,lenet,25,0.6119999885559082,0.4224547560211559,2.2057167569796245
CIFAR-10,lenet,26,0.6010000109672546,0.4374153264138462,2.283835029602051
CIFAR-10,lenet,27,0.6060000061988831,0.4613575666567138,2.408510911464691
CIFAR-10,lenet,28,0.5989000201225281,0.47628781541708337,2.4860389312108357
CIFAR-10,lenet,29,0.6115999817848206,0.49362774594124254,2.5762239853541056
CIFAR-10,lenet,30,0.6061999797821045,0.509155299085592,2.65666272242864
CIFAR-10,lenet,31,0.6025999784469604,0.5242822712196064,2.7349249005317686
CIFAR-10,lenet,32,0.6064000129699707,0.5432749022437581,2.8337271372477213
CIFAR-10,lenet,33,0.6036999821662903,0.5584975349005491,2.9126007556915283
CIFAR-10,lenet,34,0.5957000255584717,0.5754669810916824,3.000082270304362
CIFAR-10,lenet,35,0.595300018787384,0.5921022069032101,3.0866923332214355
CIFAR-10,lenet,36,0.589900016784668,0.6074924101716803,3.1656482418378196
CIFAR-10,lenet,37,0.597599983215332,0.624808612498795,3.255813463528951
CIFAR-10,lenet,38,0.5867000222206116,0.6399907192363701,3.3336583336194354
CIFAR-10,lenet,39,0.5916000008583069,0.655004907655285,3.4114554444948832
CIFAR-10,lenet,40,0.5960999727249146,0.6725119634377016,3.501447784900665
CIFAR-10,lenet,41,0.5921000242233276,0.6896260069355339,3.589383137226105
CIFAR-10,lenet,42,0.593500018119812,0.707404785458765,3.6808641155560813
CIFAR-10,lenet,43,0.5845000147819519,0.723008355418185,3.7607412656148274
CIFAR-10,lenet,44,0.5963000059127808,0.7380789111769084,3.8381904562314353
CIFAR-10,lenet,45,0.5916000008583069,0.7556357071561719,3.9284016569455464
CIFAR-10,lenet,46,0.5946999788284302,0.7726530107828714,4.0162049531936646
CIFAR-10,lenet,47,0.5796999931335449,0.7895518227405823,4.103288102149963
CIFAR-10,lenet,48,0.5902000069618225,0.8060975680584614,4.187984991073608
CIFAR-10,lenet,49,0.595300018787384,0.8213604847426859,4.2661493221918745
CIFAR-10,lenet,50,0.5929999947547913,0.8386543914859289,4.3551883419354755
