dataset,model,epoch,val_accuracy,cumulative_co2_g,elapsed_time_min
CIFAR-10,resnet50,1,0.2574999928474426,0.4215370774362625,1.8909911155700683
CIFAR-10,resnet50,2,0.2410999983549118,0.5589694419660975,2.3906742413838704
CIFAR-10,resnet50,3,0.25209999084472656,0.7002645915449045,2.9040624380111693
CIFAR-10,resnet50,4,0.41819998621940613,0.836449488234572,3.396708087126414
CIFAR-10,resnet50,5,0.3109000027179718,1.025697585985047,4.1525575637817385
CIFAR-10,resnet50,6,0.2296999990940094,1.1660233133297384,4.664495837688446
CIFAR-10,resnet50,7,0.4129999876022339,1.303783565415498,5.161078369617462
CIFAR-10,resnet50,8,0.25380000472068787,1.4998755316917713,5.957993745803833
CIFAR-10,resnet50,9,0.3140000104904175,1.6368194215463188,6.4553338209788
CIFAR-10,resnet50,10,0.5023000240325928,1.7739505228056567,6.949775656064351
CIFAR-10,resnet50,11,0.2635999917984009,1.9214415389363557,7.49524172147115
CIFAR-10,resnet50,12,0.5809000134468079,2.0600900253328844,7.998724734783172
CIFAR-10,resnet50,13,0.5781000256538391,2.1979397907471143,8.496382967631023
CIFAR-10,resnet50,14,0.49540001153945923,2.3375341709150974,9.004108047485351
CIFAR-10,resnet50,15,0.3555999994277954,2.4762404103519478,9.50788596868515
CIFAR-10,resnet50,16,0.31450000405311584,2.614044103580192,10.00483716726303
CIFAR-10,resnet50,17,0.5874999761581421,2.7535383972916785,10.509931222597759
CIFAR-10,resnet50,18,0.5342000126838684,2.8953772640633053,11.025875663757324
CIFAR-10,resnet50,19,0.6729000210762024,3.0335579695215786,11.524834422270457
CIFAR-10,resnet50,20,0.6061999797821045,3.1711935290946927,12.021778500080108
CIFAR-10,resnet50,21,0.6802999973297119,3.310425662118864,12.526837905248007
CIFAR-10,resnet50,22,0.6266000270843506,3.449276337297718,13.031011907259623
CIFAR-10,resnet50,23,0.567300021648407,3.5874342706053883,13.530990223089853
CIFAR-10,resnet50,24,0.6492000222206116,3.725165121071905,14.02809373140335
CIFAR-10,resnet50,25,0.38519999384880066,3.913737123018559,14.782900210221609
CIFAR-10,resnet50,26,0.6934999823570251,4.052595716076596,15.28403771718343
CIFAR-10,resnet50,27,0.7146000266075134,4.191538817458713,15.785865743954977
CIFAR-10,resnet50,28,0.6869000196456909,4.331152091068359,16.295409190654755
CIFAR-10,resnet50,29,0.728600025177002,4.47025447438114,16.797945479551952
CIFAR-10,resnet50,30,0.7193999886512756,4.610446129170645,17.30493710835775
CIFAR-10,resnet50,31,0.739799976348877,4.759791402343646,17.857702147960662
CIFAR-10,resnet50,32,0.728600025177002,4.900863046097356,18.37134294907252
CIFAR-10,resnet50,33,0.6848999857902527,5.043011187162875,18.886760075887043
CIFAR-10,resnet50,34,0.7390999794006348,5.185057478732824,19.40542781352997
CIFAR-10,resnet50,35,0.7384999990463257,5.324205051041091,19.908437490463257
CIFAR-10,resnet50,36,0.7092000246047974,5.463204562638884,20.41076689561208
CIFAR-10,resnet50,37,0.7275999784469604,5.605277033123098,20.928487316767374
CIFAR-10,resnet50,38,0.718500018119812,5.743797513419106,21.42812709013621
CIFAR-10,resnet50,39,0.7386000156402588,5.8814708518574115,21.925268562634788
CIFAR-10,resnet50,40,0.6998000144958496,6.020630790692668,22.429494150479634
CIFAR-10,resnet50,41,0.6478999853134155,6.162121718314253,22.946124239762625
CIFAR-10,resnet50,42,0.7350000143051147,6.304748498656693,23.461555540561676
CIFAR-10,resnet50,43,0.7365999817848206,6.445329116000534,23.9701686779658
CIFAR-10,resnet50,44,0.7480999827384949,6.586364364109102,24.484555768966676
CIFAR-10,resnet50,45,0.7354000210762024,6.774325755067739,25.236059514681497
CIFAR-10,resnet50,46,0.7311999797821045,6.9162125847869165,25.751006825764975
CIFAR-10,resnet50,47,0.7319999933242798,7.056985340883731,26.259912006060283
CIFAR-10,resnet50,48,0.7321000099182129,7.245341038338024,27.01193186442057
CIFAR-10,resnet50,49,0.7301999926567078,7.38784712335619,27.52925440073013
CIFAR-10,resnet50,50,0.7213000059127808,7.527812534431695,28.034701093037924
