dataset,model,epoch,val_accuracy,cumulative_co2_g
CIFAR-100,ResNet18,1,0.13189999759197235,0.5493963401234073
CIFAR-100,ResNet18,2,0.227400004863739,0.9228380718282069
CIFAR-100,ResNet18,3,0.41850000619888306,1.2918577097592934
CIFAR-100,ResNet18,4,0.4562000036239624,1.6620175540770403
CIFAR-100,ResNet18,5,0.4657999873161316,2.0331353967288153
CIFAR-100,ResNet18,6,0.4957999885082245,2.4057861700446326
CIFAR-100,ResNet18,7,0.544700026512146,2.793423701864292
CIFAR-100,ResNet18,8,0.5324000120162964,3.16227619476342
CIFAR-100,ResNet18,9,0.536300003528595,3.531421252918549
CIFAR-100,ResNet18,10,0.5134000182151794,3.9039116410948775
CIFAR-100,ResNet18,11,0.5289999842643738,4.272619918299803
CIFAR-100,ResNet18,12,0.5181000232696533,4.63987796652172
CIFAR-100,ResNet18,13,0.5494999885559082,5.011335980918519
CIFAR-100,ResNet18,14,0.516700029373169,5.384857464297069
CIFAR-100,ResNet18,15,0.5353999733924866,5.752125886019477
CIFAR-100,ResNet18,16,0.5023999810218811,6.123456700462324
CIFAR-100,ResNet18,17,0.505299985408783,6.492477110264838
CIFAR-100,ResNet18,18,0.54339998960495,6.861584945846858
CIFAR-100,ResNet18,19,0.5397999882698059,7.2330967585199835
CIFAR-100,ResNet18,20,0.4950999915599823,7.648312251829394
CIFAR-100,ResNet18,21,0.5300999879837036,8.02008552979113
CIFAR-100,ResNet18,22,0.5321999788284302,8.388870031946897
CIFAR-100,ResNet18,23,0.5257999897003174,8.76024180048555
CIFAR-100,ResNet18,24,0.5378000140190125,9.129887064551843
CIFAR-100,ResNet18,25,0.5424000024795532,9.500613928294147
CIFAR-100,ResNet18,26,0.5490000247955322,9.874176108264104
CIFAR-100,ResNet18,27,0.5450000166893005,10.24426184375952
CIFAR-100,ResNet18,28,0.5479000210762024,10.612710082990395
CIFAR-100,ResNet18,29,0.5485000014305115,10.983916397809729
CIFAR-100,ResNet18,30,0.5699999928474426,11.35605340369504
CIFAR-100,ResNet18,31,0.5497000217437744,11.726121381473368
CIFAR-100,ResNet18,32,0.5583000183105469,12.096579974854718
CIFAR-100,ResNet18,33,0.5440999865531921,12.464902485693006
CIFAR-100,ResNet18,34,0.5713000297546387,12.83425181424538
CIFAR-100,ResNet18,35,0.5667999982833862,13.202457822420092
CIFAR-100,ResNet18,36,0.5496000051498413,13.572584111614233
CIFAR-100,ResNet18,37,0.5586000084877014,13.937944397159415
CIFAR-100,ResNet18,38,0.557699978351593,14.304916262558242
CIFAR-100,ResNet18,39,0.5584999918937683,14.669128413918633
CIFAR-100,ResNet18,40,0.5654000043869019,15.03269597067125
CIFAR-100,ResNet18,41,0.5634999871253967,15.39273847459351
CIFAR-100,ResNet18,42,0.5493999719619751,15.753930223602751
CIFAR-100,ResNet18,43,0.5611000061035156,16.11490360768161
CIFAR-100,ResNet18,44,0.5726000070571899,16.476293187539998
CIFAR-100,ResNet18,45,0.5449000000953674,16.834572647264956
CIFAR-100,ResNet18,46,0.5738999843597412,17.19262969621323
CIFAR-100,ResNet18,47,0.5333999991416931,17.551758543434385
CIFAR-100,ResNet18,48,0.5791000127792358,17.90991411747256
CIFAR-100,ResNet18,49,0.5715000033378601,18.268256466393808
CIFAR-100,ResNet18,50,0.5533000230789185,18.627025280987876
