dataset,model,epoch,val_accuracy,cumulative_co2_g
CIFAR-100,efficientnetb0,1,0.0737999975681305,1.6448933794673328
CIFAR-100,efficientnetb0,2,0.1340000033378601,1.8421374848860623
CIFAR-100,efficientnetb0,3,0.1517000049352646,2.045423818380325
CIFAR-100,efficientnetb0,4,0.19179999828338623,2.2922530835918775
CIFAR-100,efficientnetb0,5,0.20579999685287476,2.4953788075599608
CIFAR-100,efficientnetb0,6,0.24140000343322754,2.694229393903951
CIFAR-100,efficientnetb0,7,0.24639999866485596,2.90432569432334
CIFAR-100,efficientnetb0,8,0.27219998836517334,3.105914635888798
CIFAR-100,efficientnetb0,9,0.2957000136375427,3.3130978185491173
CIFAR-100,efficientnetb0,10,0.30219998955726624,3.5642918611107404
CIFAR-100,efficientnetb0,11,0.30090001225471497,3.770753587643016
CIFAR-100,efficientnetb0,12,0.3305000066757202,3.9743393064634773
CIFAR-100,efficientnetb0,13,0.3276999890804291,4.180562944958434
CIFAR-100,efficientnetb0,14,0.337799996137619,4.379896322531519
CIFAR-100,efficientnetb0,15,0.3260999917984009,4.609930760705429
CIFAR-100,efficientnetb0,16,0.35659998655319214,4.811966745911923
CIFAR-100,efficientnetb0,17,0.3497999906539917,5.021074296151858
CIFAR-100,efficientnetb0,18,0.3529999852180481,5.2211054323426955
CIFAR-100,efficientnetb0,19,0.3610999882221222,5.423001297720204
CIFAR-100,efficientnetb0,20,0.3643999993801117,5.637175603069076
CIFAR-100,efficientnetb0,21,0.359499990940094,5.84485503025037
CIFAR-100,efficientnetb0,22,0.36239999532699585,6.054206428464285
CIFAR-100,efficientnetb0,23,0.3626999855041504,6.2545727957279915
CIFAR-100,efficientnetb0,24,0.36079999804496765,6.45994302243803
CIFAR-100,efficientnetb0,25,0.3147999942302704,6.662165063199555
CIFAR-100,efficientnetb0,26,0.3598000109195709,6.872481789510676
CIFAR-100,efficientnetb0,27,0.36469998955726624,7.0737860190646344
CIFAR-100,efficientnetb0,28,0.35830000042915344,7.320535302638678
CIFAR-100,efficientnetb0,29,0.3522000014781952,7.522944519143751
CIFAR-100,efficientnetb0,30,0.36039999127388,7.738471307280909
CIFAR-100,efficientnetb0,31,0.34310001134872437,7.940703146867851
CIFAR-100,efficientnetb0,32,0.3319000005722046,8.14474582582464
CIFAR-100,efficientnetb0,33,0.3596000075340271,8.344532671513248
CIFAR-100,efficientnetb0,34,0.3718000054359436,8.555043739742922
CIFAR-100,efficientnetb0,35,0.3474000096321106,8.75675639780788
CIFAR-100,efficientnetb0,36,0.36550000309944153,8.962589453372122
CIFAR-100,efficientnetb0,37,0.35519999265670776,9.168217552341302
CIFAR-100,efficientnetb0,38,0.36320000886917114,9.369905130386613
CIFAR-100,efficientnetb0,39,0.36239999532699585,9.577665860025034
CIFAR-100,efficientnetb0,40,0.2994999885559082,9.782596444131492
CIFAR-100,efficientnetb0,41,0.3513000011444092,9.990726720864146
CIFAR-100,efficientnetb0,42,0.3127000033855438,10.246995676007117
CIFAR-100,efficientnetb0,43,0.36719998717308044,10.44888468616476
CIFAR-100,efficientnetb0,44,0.3675000071525574,10.654600459510513
CIFAR-100,efficientnetb0,45,0.36500000953674316,10.861598061265646
CIFAR-100,efficientnetb0,46,0.3747999966144562,11.065182278266876
CIFAR-100,efficientnetb0,47,0.3765999972820282,11.27511292282976
CIFAR-100,efficientnetb0,48,0.3736000061035156,11.480526456459845
CIFAR-100,efficientnetb0,49,0.3774000108242035,11.69179485255377
CIFAR-100,efficientnetb0,50,0.36800000071525574,11.945019520845298
