dataset,model,epoch,val_accuracy,cumulative_co2_g
CIFAR-100,lenet,1,0.14550000429153442,0.0932355236237074
CIFAR-100,lenet,2,0.188400000333786,0.13269648426468153
CIFAR-100,lenet,3,0.21459999680519104,0.17319903771627154
CIFAR-100,lenet,4,0.22990000247955322,0.2073853868153157
CIFAR-100,lenet,5,0.24609999358654022,0.24519245154898525
CIFAR-100,lenet,6,0.25920000672340393,0.28448419139732484
CIFAR-100,lenet,7,0.2736000120639801,0.32018138610995045
CIFAR-100,lenet,8,0.2687999904155731,0.3603231815348945
CIFAR-100,lenet,9,0.27880001068115234,0.4118853001836862
CIFAR-100,lenet,10,0.2858000099658966,0.45519548882540384
CIFAR-100,lenet,11,0.2858000099658966,0.4905483594251089
CIFAR-100,lenet,12,0.2892000079154968,0.5334918952851809
CIFAR-100,lenet,13,0.29319998621940613,0.5682951792482915
CIFAR-100,lenet,14,0.29179999232292175,0.6066646643427035
CIFAR-100,lenet,15,0.2881999909877777,0.6448693886814161
CIFAR-100,lenet,16,0.29789999127388,0.6797889598057937
CIFAR-100,lenet,17,0.3018999993801117,0.7204709488575194
CIFAR-100,lenet,18,0.29280000925064087,0.7551485694226245
CIFAR-100,lenet,19,0.2939999997615814,0.7971918262312212
CIFAR-100,lenet,20,0.30390000343322754,0.831723874457779
CIFAR-100,lenet,21,0.29840001463890076,0.8694712276139148
CIFAR-100,lenet,22,0.3025999963283539,0.9098777188802242
CIFAR-100,lenet,23,0.29899999499320984,0.945514708413138
CIFAR-100,lenet,24,0.28999999165534973,0.9867926223452755
CIFAR-100,lenet,25,0.3043000102043152,1.0219508470098602
CIFAR-100,lenet,26,0.29280000925064087,1.0616118010238171
CIFAR-100,lenet,27,0.2985999882221222,1.0978194307606948
CIFAR-100,lenet,28,0.29319998621940613,1.1348780668328886
CIFAR-100,lenet,29,0.2921000123023987,1.1761923297353303
CIFAR-100,lenet,30,0.29829999804496765,1.2114835038397678
CIFAR-100,lenet,31,0.29739999771118164,1.263023063440056
CIFAR-100,lenet,32,0.30300000309944153,1.315391616785466
CIFAR-100,lenet,33,0.28700000047683716,1.3560796290519646
CIFAR-100,lenet,34,0.2992999851703644,1.392274754891564
CIFAR-100,lenet,35,0.2912999987602234,1.4342232959422612
CIFAR-100,lenet,36,0.2919999957084656,1.4689931097236009
CIFAR-100,lenet,37,0.2994000017642975,1.5201059979414997
CIFAR-100,lenet,38,0.29350000619888306,1.555462965690358
CIFAR-100,lenet,39,0.2930999994277954,1.5967106744201258
CIFAR-100,lenet,40,0.2906999886035919,1.6343596992107128
CIFAR-100,lenet,41,0.2948000133037567,1.6716623241079613
CIFAR-100,lenet,42,0.2921000123023987,1.7125307018206095
CIFAR-100,lenet,43,0.2897000014781952,1.7475869769431553
CIFAR-100,lenet,44,0.2904999852180481,1.7994745593519796
CIFAR-100,lenet,45,0.28619998693466187,1.835433634945405
CIFAR-100,lenet,46,0.2870999872684479,1.8775163111982325
CIFAR-100,lenet,47,0.28769999742507935,1.913803203431625
CIFAR-100,lenet,48,0.2939999997615814,1.9535462214870145
CIFAR-100,lenet,49,0.2833999991416931,1.9916620647725887
CIFAR-100,lenet,50,0.2881999909877777,2.027221973928041
