dataset,model,epoch,val_accuracy,cumulative_co2_g
CIFAR-100,mobilenetv2,1,0.009999999776482582,0.9587791131099034
CIFAR-100,mobilenetv2,2,0.009999999776482582,1.1117374553266652
CIFAR-100,mobilenetv2,3,0.009999999776482582,1.2637435162597608
CIFAR-100,mobilenetv2,4,0.011900000274181366,1.4161455560061766
CIFAR-100,mobilenetv2,5,0.01489999983459711,1.5788160464020846
CIFAR-100,mobilenetv2,6,0.03400000184774399,1.7424894613320456
CIFAR-100,mobilenetv2,7,0.09189999848604202,1.900118296211076
CIFAR-100,mobilenetv2,8,0.07930000126361847,2.055990174155533
CIFAR-100,mobilenetv2,9,0.10700000077486038,2.212206350534761
CIFAR-100,mobilenetv2,10,0.09000000357627869,2.3675236970395397
CIFAR-100,mobilenetv2,11,0.11599999666213989,2.52363723519089
CIFAR-100,mobilenetv2,12,0.12489999830722809,2.675817822306357
CIFAR-100,mobilenetv2,13,0.13670000433921814,2.840353554053614
CIFAR-100,mobilenetv2,14,0.16449999809265137,3.0746990097005904
CIFAR-100,mobilenetv2,15,0.12530000507831573,3.2337817252595
CIFAR-100,mobilenetv2,16,0.186599999666214,3.3927293423282756
CIFAR-100,mobilenetv2,17,0.18310000002384186,3.54969259938548
CIFAR-100,mobilenetv2,18,0.24719999730587006,3.7055407318675395
CIFAR-100,mobilenetv2,19,0.22709999978542328,3.8594216492997453
CIFAR-100,mobilenetv2,20,0.23319999873638153,4.013404091324939
CIFAR-100,mobilenetv2,21,0.2669999897480011,4.168074217581424
CIFAR-100,mobilenetv2,22,0.2775000035762787,4.32467548673141
CIFAR-100,mobilenetv2,23,0.2653000056743622,4.477814962904762
CIFAR-100,mobilenetv2,24,0.2809000015258789,4.636865972379358
CIFAR-100,mobilenetv2,25,0.27489998936653137,4.79689382330798
CIFAR-100,mobilenetv2,26,0.31540000438690186,4.9503051524136055
CIFAR-100,mobilenetv2,27,0.325300008058548,5.104731287594148
CIFAR-100,mobilenetv2,28,0.313400000333786,5.260982010345782
CIFAR-100,mobilenetv2,29,0.31690001487731934,5.416242404148335
CIFAR-100,mobilenetv2,30,0.23729999363422394,5.572793431683521
CIFAR-100,mobilenetv2,31,0.328900009393692,5.7281767350641335
CIFAR-100,mobilenetv2,32,0.34150001406669617,5.882145583509468
CIFAR-100,mobilenetv2,33,0.3212999999523163,6.041573051737258
CIFAR-100,mobilenetv2,34,0.3328999876976013,6.201739310136966
CIFAR-100,mobilenetv2,35,0.351500004529953,6.356427384881111
CIFAR-100,mobilenetv2,36,0.3495999872684479,6.510769678223594
CIFAR-100,mobilenetv2,37,0.3515999913215637,6.667218189114204
CIFAR-100,mobilenetv2,38,0.35030001401901245,6.823800606737996
CIFAR-100,mobilenetv2,39,0.34459999203681946,6.978046867390122
CIFAR-100,mobilenetv2,40,0.3492000102996826,7.135213560940278
CIFAR-100,mobilenetv2,41,0.34850001335144043,7.291134570895039
CIFAR-100,mobilenetv2,42,0.3637000024318695,7.449156273268949
CIFAR-100,mobilenetv2,43,0.357699990272522,7.607428438242844
CIFAR-100,mobilenetv2,44,0.34860000014305115,7.8459644696294015
CIFAR-100,mobilenetv2,45,0.3337000012397766,8.002549762079974
CIFAR-100,mobilenetv2,46,0.35929998755455017,8.160730025728403
CIFAR-100,mobilenetv2,47,0.36320000886917114,8.31922807187668
CIFAR-100,mobilenetv2,48,0.36329999566078186,8.474377367024447
CIFAR-100,mobilenetv2,49,0.35030001401901245,8.629999795264636
CIFAR-100,mobilenetv2,50,0.3553999960422516,8.784753220349511
