model,dataset,training_mode,run_id,epochs_trained,final_val_accuracy,best_val_accuracy,training_time_sec,co2_g,co2_kg
lenet,cifar10,fixed,1,50,0.5704,0.6035,164.01,1.3157,0.001316
lenet,cifar10,fixed,2,50,0.5568,0.5987,155.74,1.284,0.001284
lenet,cifar10,fixed,3,50,0.544,0.5825,158.51,1.3366,0.001337
vgg16,cifar10,fixed,1,50,0.7603,0.7618,754.42,8.8907,0.008891
vgg16,cifar10,fixed,2,50,0.7447,0.7476,757.91,8.8889,0.008889
vgg16,cifar10,fixed,3,50,0.7492,0.7536,761.42,8.9318,0.008932
resnet18,cifar10,fixed,1,50,0.6374,0.7215,761.11,8.9504,0.00895
resnet18,cifar10,fixed,2,50,0.6287,0.6951,754.79,8.893,0.008893
resnet18,cifar10,fixed,3,50,0.6786,0.6786,756.73,8.9134,0.008913
resnet50,cifar10,fixed,1,50,0.6646,0.7093,1465.67,16.7241,0.016724
resnet50,cifar10,fixed,2,50,0.7199,0.7415,1438.31,16.5107,0.016511
resnet50,cifar10,fixed,3,50,0.6752,0.7127,1424.84,16.3934,0.016393
mobilenetv2,cifar10,fixed,1,50,0.6746,0.7189,700.59,7.4837,0.007484
mobilenetv2,cifar10,fixed,2,50,0.7163,0.7207,690.92,7.376,0.007376
lenet,cifar100,fixed,1,50,0.2658,0.291,158.48,1.263,0.001263
lenet,cifar100,fixed,2,50,0.2689,0.2883,161.32,1.3159,0.001316
lenet,cifar100,fixed,3,50,0.2591,0.273,160.97,1.3472,0.001347
resnet18,cifar100,fixed,1,50,0.4339,0.4423,748.19,8.8225,0.008823
resnet18,cifar100,fixed,2,50,0.3631,0.4066,751.33,8.8555,0.008855
resnet18,cifar100,fixed,3,50,0.3395,0.3881,750.86,8.8508,0.008851
vgg16,cifar100,fixed,1,50,0.01,0.01,745.94,8.7537,0.008754
vgg16,cifar100,fixed,2,50,0.2815,0.2926,753.86,8.8339,0.008834
vgg16,cifar100,fixed,3,50,0.01,0.01,726.16,8.5545,0.008555
vgg16,cifar100,fixed,1,50,0.5243,0.5272,848.89,0.1122,0.000112
vgg16,cifar100,fixed,2,50,0.506,0.5271,862.88,0.1137,0.000114
vgg16,cifar100,fixed,3,50,0.5231,0.5292,868.16,13.6735,0.013674
resnet50,cifar100,fixed,1,50,0.3721,0.3932,1409.72,21.735,0.021735
resnet50,cifar100,fixed,2,50,0.3231,0.3945,1441.31,22.1041,0.022104
resnet50,cifar100,fixed,3,50,0.3453,0.3623,1409.27,21.6752,0.021675
mobilenetv2,cifar100,fixed,1,50,0.2106,0.2114,677.77,0.0811,8.1e-05
mobilenetv2,cifar100,fixed,2,50,0.2225,0.2225,663.92,9.6148,0.009615
mobilenetv2,cifar100,fixed,3,50,0.2044,0.214,640.07,9.3585,0.009358
efficientnetb0,cifar100,fixed,1,50,0.219,0.2203,870.52,12.8124,0.012812
efficientnetb0,cifar100,fixed,2,50,0.2273,0.2273,869.55,12.7954,0.012795
efficientnetb0,cifar100,fixed,3,50,0.2155,0.2222,891.34,13.0799,0.01308
efficientnetb0,cifar100,convergence,1,29,0.1896,0.2081,598.32,8.4068,0.008407
efficientnetb0,cifar100,convergence,2,22,0.2009,0.2078,468.7,6.5827,0.006583
efficientnetb0,cifar100,convergence,3,51,0.2192,0.2267,932.64,13.5705,0.013571
mobilenetv2,cifar100,convergence,1,20,0.1852,0.2007,325.78,4.5496,0.00455
mobilenetv2,cifar100,convergence,2,21,0.1923,0.2061,325.69,4.5608,0.004561
mobilenetv2,cifar100,convergence,3,20,0.1788,0.1989,297.56,4.2097,0.00421
mobilenetv2,cifar100,convergence,1,61,0.3196,0.3196,809.14,8.7743,0.008774
mobilenetv2,cifar100,convergence,2,67,0.3063,0.3206,868.65,9.5267,0.009527
mobilenetv2,cifar100,convergence,3,62,0.2971,0.2971,875.46,9.3985,0.009398
efficientnetb0,cifar100,convergence,1,65,0.3246,0.3246,1115.46,12.38,0.01238
efficientnetb0,cifar100,convergence,2,64,0.3156,0.3345,1090.74,12.0818,0.012082
efficientnetb0,cifar100,convergence,3,61,0.3074,0.3123,1041.72,11.5434,0.011543
resnet50,cifar100,convergence,1,63,0.3285,0.3345,1811.08,0.2349,0.000235
resnet50,cifar100,convergence,2,79,0.3399,0.3469,2196.79,0.2872,0.000287
resnet50,cifar100,convergence,3,69,0.3339,0.3368,2028.21,0.2628,0.000263
lenet,cifar100,convergence,1,61,0.2616,0.2778,199.1,0.0189,1.9e-05
lenet,cifar100,convergence,2,61,0.2621,0.2745,191.39,0.0182,1.8e-05
lenet,cifar100,convergence,3,61,0.2683,0.2906,190.74,0.0182,1.8e-05
resnet18,cifar100,convergence,1,70,0.3751,0.3751,1059.3,16.7988,0.016799
resnet18,cifar100,convergence,2,61,0.3642,0.3998,928.11,0.1232,0.000123
resnet18,cifar100,convergence,1,63,0.3268,0.3758,957.63,0.1269,0.000127
resnet18,cifar100,convergence,2,70,0.3399,0.3863,1061.62,0.1405,0.000141
resnet18,cifar100,convergence,3,71,0.389,0.4055,1063.94,16.8934,0.016893
vgg16,cifar100,convergence,1,74,0.5022,0.5091,1213.67,14.2591,0.014259
vgg16,cifar100,convergence,2,83,0.4902,0.5179,1366.37,16.0397,0.01604
vgg16,cifar100,convergence,3,72,0.5106,0.5124,1185.22,13.9323,0.013932
